,score,score,score,score,score,score,score,score
,count,mean,std,min,25%,50%,75%,max
metric,,,,,,,,
classic,4938.0,0.0028894360077158635,0.033328242049947734,0.0,0.0,8.724164118574438e-232,1.2183324802375697e-231,1.0
one-gram,4938.0,0.004362582614027258,0.035034052632742584,0.0,0.0,0.0003361589950043269,0.0017172983356384976,1.0
sacrebleu,4938.0,2.78802619572406,4.508517926685544,0.0,1.1286776025131757,1.996819088094332,3.178347381580657,100.00000000000004
