,score,score,score,score,score,score,score,score
,count,mean,std,min,25%,50%,75%,max
metric,,,,,,,,
chrf,5309.0,24.563404143620836,14.06737199530986,0.0,14.4637068135756,22.201035951926702,31.918148315146244,100.0
sacrebleu,5309.0,8.33990349705329,10.937624014358772,0.0,2.6048484532717215,4.574404341513704,9.599621398238423,100.00000000000004
