,score,score,score,score,score,score,score,score
,count,mean,std,min,25%,50%,75%,max
metric,,,,,,,,
chrf,5309.0,12.294839459267369,16.073472986076197,0.0,4.166666666666666,7.08502024291498,13.108614232209739,100.0
sacrebleu,5309.0,31.68583569606488,20.78377761425828,0.0,13.609435481889395,30.225710123301887,46.59895044362154,100.00000000000004
