,score,score,score,score,score,score,score,score
,count,mean,std,min,25%,50%,75%,max
metric,,,,,,,,
chrf,4939.0,4.574177401866622,3.0654283525490236,0.0,3.291967237013985,4.22730031016878,5.373919772407814,100.0
classic,4939.0,0.00015910640367029243,0.003089085879583464,0.0,0.0,7.296382734947757e-232,1.1200407237786664e-231,0.09896735247548663
sacrebleu,4939.0,1.004413560611865,1.1475387306752691,0.0,0.0,0.7605497822189857,1.5727110829705957,11.725004053101795
