,score,score,score,score,score,score,score,score
,count,mean,std,min,25%,50%,75%,max
metric,,,,,,,,
chrf,5309.0,8.835733510406168,10.655344101030503,0.0,3.8300464919884645,5.11723856058905,8.62373329383259,100.0
classic,5309.0,0.007900733212344531,0.039711457815493005,0.0,0.0,9.594503055152632e-232,3.229753418204598e-155,0.6548907866815301
sacrebleu,5309.0,3.268224460789226,5.128090494976383,0.0,0.0,1.6479140828425145,4.175415561574823,59.460355750136046
